cvc	cc	type	cselekednek	cselekszenek
kugozik	kugzik	cselekedtek	kugoztok	kugzotok
mímözik	mímzik	cselekednek	mímöznek	mímzenek
zókazulik	zókazlik	cselekedne	zókazulna	zókazlana
béfegeszik	béfegszik	cselekednek	béfegesznek	béfegszenek
ríkodik	ríkdik	cselekednek	ríkodnek	ríkdenek
rozimulik	rozimlik	cselekedtek	rozimultek	rozimlettek
kúruszízulik	kúruszízlik	cselekedni	kúruszízulni	kúruszízleni
bigalik	biglik	cselekedtek	bigaltek	biglettek
kőmelik	kőmlik	cselekedtek	kőmeltek	kőmlettek
tíkuzik	tíkszik	cselekedtek	tíkuztek	tíkszettek
tódolik	tódlik	cselekedni	tódolni	tódlani
kübetelik	kübetlik	cselekednek	kübetelnek	kübetlenek
sígolik	síglik	cselekedne	sígolne	síglene
virdezelik	virdezlik	cselekedni	virdezelni	virdezleni
kavigoszik	kavigszik	cselekedne	kavigoszne	kavigszene
főkeközik	főkekszik	cselekedne	főkeközne	főkekszene
tofunozik	tofunzik	cselekedne	tofunozna	tofunzana
bovupudik	bovupszik	cselekedtek	bovupudtok	bovupszotok
milekebüridik	milekebürdik	cselekedne	milekebüridne	milekebürdene
lumolik	lumlik	cselekedtek	lumoltak	lumlottak
tipürölik	tipürlik	cselekedne	tipürölne	tipürlene
lüvejilik	lüvejlik	cselekedtek	lüvejiltek	lüvejlettek
bűmözik	bűmzik	cselekedtek	bűmöztek	bűmzettek
fákíkudik	fákíkdik	cselekedtek	fákíkudtek	fákíkdettek
burukákolik	burukáklik	cselekedtek	burukákoltak	burukáklottak
tönölőtilik	tönölőtlik	cselekedne	tönölőtilne	tönölőtlene
múnyozik	múnyzik	cselekedne	múnyozna	múnyzana
süpínyőrödik	süpínyőrdik	cselekednek	süpínyőrödnek	süpínyőrdenek
bunozsalik	bunozslik	cselekedtek	bunozsaltok	bunozslotok
símütürmőlödik	símütürmőlszik	cselekedne	símütürmőlödne	símütürmőlszene
reridik	rerdik	cselekedtek	reridtek	rerdettek
tőgüszik	tőgszik	cselekedtek	tőgüsztek	tőgszettek
kőgömölik	kőgömlik	cselekedtek	kőgömöltek	kőgömlettek
rösölik	röslik	cselekedtek	rösöltek	röslettek
dőgedik	dőgszik	cselekedne	dőgedne	dőgszene
kipörödik	kipördik	cselekedne	kipörödne	kipördene
pozsalik	pozslik	cselekedne	pozsalna	pozslana
stézsüjölik	stézsüjlik	cselekedtek	stézsüjöltek	stézsüjlettek
rőpödik	rőpdik	cselekedni	rőpödni	rőpdeni
tírajtógoszik	tírajtógszik	cselekedtek	tírajtógosztok	tírajtógszotok
betsögirik	betsögrik	cselekedni	betsögirni	betsögreni
sígurik	sígrik	cselekedtek	sígurtek	sígrettek
götegödik	götegdik	cselekedtek	götegödtek	götegdettek
jűmbítögödik	jűmbítögdik	cselekedtek	jűmbítögödtek	jűmbítögdettek
lérilik	lérlik	cselekedtek	lériltek	lérlettek
venjünyelik	venjünylik	cselekedtek	venjünyeltek	venjünylettek
búnlalodik	búnlalszik	cselekedtek	búnlalodtok	búnlalszotok
püködik	pükdik	cselekedne	püködne	pükdene
sűgölik	sűglik	cselekedne	sűgölne	sűglene
remörüzilik	remörüzlik	cselekedne	remörüzilne	remörüzlene
rukudik	rukdik	cselekedni	rukudni	rukdani
vísztigölik	vísztiglik	cselekednek	vísztigölnek	vísztiglenek
fúpanulik	fúpanlik	cselekednek	fúpanulnak	fúpanlanak
kőbejtíredik	kőbejtírdik	cselekedtek	kőbejtíredtek	kőbejtírdettek
túgogodik	túgogszik	cselekedni	túgogodni	túgogszani
vírodik	vírdik	cselekedtek	vírodtek	vírdettek
sudojolik	sudojlik	cselekedne	sudojolna	sudojlana
vurokodik	vurokszik	cselekedne	vurokodna	vurokszana
takolik	taklik	cselekedni	takolni	taklani
sziszkesidik	sziszkeslik	cselekednek	sziszkesidnek	sziszkeslenek
tüszelik	tüszlik	cselekedni	tüszelni	tüszleni
nugínyozik	nugínyzik	cselekedne	nugínyozne	nugínyzene
möpedik	möpszik	cselekedne	möpedne	möpszene
kőmelik	kőmlik	cselekedne	kőmelne	kőmlene
prénilik	prénlik	cselekedtek	préniltek	prénlettek
dírvejepödik	dírvejepdik	cselekednek	dírvejepödnek	dírvejepdenek
kűrtígizik	kűrtígzik	cselekednek	kűrtígiznek	kűrtígzenek
brígörik	brígrik	cselekedtek	brígörtek	brígrettek
bunyutopudik	bunyutopszik	cselekedtek	bunyutopudtak	bunyutopszottak
rídölik	rídlik	cselekedtek	rídöltek	rídlettek
rűresilik	rűreslik	cselekednek	rűresilnek	rűreslenek
kögiszik	kögszik	cselekedtek	kögisztek	kögszettek
sögyürödik	sögyürdik	cselekedtek	sögyürödtek	sögyürdettek
laralik	larlik	cselekedtek	laraltok	larlotok
püszilik	püszlik	cselekedne	püszilne	püszlene
lúsulik	lúslik	cselekedtek	lúsultak	lúslottak
fotkígojozik	fotkígojzik	cselekedtek	fotkígojoztok	fotkígojzotok
mógudik	mógszik	cselekednek	mógudnak	mógszanak
bekízsölik	bekízslik	cselekednek	bekízsölnek	bekízslenek
rűlödik	rűlszik	cselekedni	rűlödni	rűlszeni
forunyóguszik	forunyógszik	cselekedni	forunyóguszni	forunyógszani
fozganozik	fozganzik	cselekedne	fozganozna	fozganzana
pagodik	pagszik	cselekednek	pagodnak	pagszanak
dáfakozik	dáfakzik	cselekedne	dáfakozna	dáfakzana
fikakolik	fikaklik	cselekedtek	fakoliktak	faklikottak
fézölik	fézlik	cselekedne	fézölne	fézlene
toszojalik	toszojlik	cselekedni	toszojalni	toszojlani
kígöködik	kígökszik	cselekedni	kígöködni	kígökszeni
takolik	taklik	cselekedtek	takoltak	taklottak
néntrelémőközik	néntrelémőkzik	cselekednek	néntrelémőköznek	néntrelémőkzenek
rikuszik	rikszik	cselekednek	rusziknek	rszikenek
stűtibizik	stűtibzik	cselekedtek	stűtibiztek	stűtibzettek
toszojalik	toszojlik	cselekedne	toszojalna	toszojlana
gökidik	gökszik	cselekednek	gökidnek	gökszenek
mőgöszik	mőgszik	cselekedne	mőgöszne	mőgszene
dáfakozik	dáfakzik	cselekednek	dáfakoznak	dáfakzanak
beszípedik	beszípszik	cselekedne	beszípedne	beszípszene
vapodik	vapdik	cselekedtek	vapodtok	vapdotok
pugaszik	pugszik	cselekedtek	pugasztok	pugszotok
vinigyügözik	vinigyügzik	cselekedtek	vinigyügöztek	vinigyügzettek
mőrünilik	mőrünlik	cselekedni	mőrünilni	mőrünleni
buzsulik	buzslik	cselekednek	buzsulnak	buzslanak
kirvogurik	kirvogrik	cselekedni	kirvogurni	kirvograni
gűdönölik	gűdönlik	cselekedtek	gűdönöltek	gűdönlettek
tőjíkípűjezik	tőjíkípűjzik	cselekedne	tőjíkípűjezne	tőjíkípűjzene
szukuszik	szukszik	cselekedne	szukuszna	szukszana
kirízézémelik	kirízézémlik	cselekedtek	kirízézémeltek	kirízézémlettek
jazísalik	jazíslik	cselekedtek	jazísaltek	jazíslettek
kászugodik	kászugdik	cselekedni	kászugodni	kászugdani
vinigyügözik	vinigyügzik	cselekedni	vinigyügözni	vinigyügzeni
szömíjígürik	szömíjígrik	cselekedtek	szömíjígürtek	szömíjígrettek
kőnölik	kőnlik	cselekedni	kőnölni	kőnleni
bóbímozik	bóbímzik	cselekedtek	bóbímoztek	bóbímzettek
kázolik	kázlik	cselekedtek	kázoltok	kázlotok
risiralik	risirlik	cselekedtek	risiraltek	risirlettek
strézleklűrözik	strézleklűrzik	cselekedni	strézleklűrözni	strézleklűrzeni
vopígodik	vopígszik	cselekedtek	vopígodtek	vopígszettek
kupozsolik	kupozslik	cselekedtek	kupozsoltak	kupozslottak
szémlinyikedik	szémlinyikdik	cselekednek	szémlinyediknek	szémlinydikenek
memizik	memzik	cselekedne	memizne	memzene
mívupodik	mívupdik	cselekedne	mívupodna	mívupdana
sedisizsölik	sedisizslik	cselekedne	sedisizsölne	sedisizslene
dárodik	dárdik	cselekedne	dárodna	dárdana
bűgödik	bűgszik	cselekednek	bűgödnek	bűgszenek
gúrgokozik	gúrgokzik	cselekedtek	gúrgokoztak	gúrgokzottak
mójuzik	mójzik	cselekednek	mójuznak	mójzanak
pőgölik	pőglik	cselekedtek	pőgöltek	pőglettek
zúsalugodik	zúsalugszik	cselekedne	zúsalugodna	zúsalugszana
bebinezik	bebinzik	cselekedtek	bebineztek	bebinzettek
nűpzelőlödik	nűpzelőlszik	cselekednek	nűpzelőlödnek	nűpzelőlszenek
vudubójozik	vudubójzik	cselekedtek	vudubójoztok	vudubójzotok
kúmíjolik	kúmíjlik	cselekedtek	kúmíjoltek	kúmíjlettek
szosikudik	szosikszik	cselekedni	szosudikni	szosszikeni
bibírozik	bibírzik	cselekedtek	bibíroztek	bibírzettek
ditanyulik	ditanylik	cselekednek	ditanyulnak	ditanylanak
tákozik	tákzik	cselekedtek	tákoztak	tákzottak
kufaloszik	kufalszik	cselekedni	kufaloszni	kufalszani
zőmögölik	zőmöglik	cselekedni	zőmögölni	zőmögleni
tuguzik	tugzik	cselekedni	tuguzni	tugzani
rónyigorik	rónyigrik	cselekedtek	rónyigortek	rónyigrettek
fézsilik	fézslik	cselekedni	fézsilni	fézsleni
venjünyelik	venjünylik	cselekedtek	venjünyeltek	venjünylettek
vőmpepüdölik	vőmpepüdlik	cselekednek	vőmpepüdölnek	vőmpepüdlenek
sagorik	sagrik	cselekedne	sagorna	sagrana
vűbözik	vűbzik	cselekedni	vűbözni	vűbzeni
tázasódulik	tázasódlik	cselekedtek	tázasódultak	tázasódlottak
tuguzik	tugzik	cselekednek	tuguznak	tugzanak
möszírezik	möszírzik	cselekedni	möszírezni	möszírzeni
sidönözik	sidönzik	cselekednek	sidönöznek	sidönzenek
sűgölik	sűglik	cselekedni	sűgölni	sűgleni
kamintritusalik	kamintrituslik	cselekedtek	kamintritusaltak	kamintrituslottak
kegedik	kegszik	cselekedne	kegedne	kegszene
lűkizik	lűkszik	cselekednek	lűkiznek	lűkszenek
mógojolik	mógojlik	cselekedtek	mógojoltak	mógojlottak
rütigyűvipidik	rütigyűvipdik	cselekedne	rütigyűvipidne	rütigyűvipdene
denözik	denzik	cselekednek	denöznek	denzenek
vüjelik	vüjlik	cselekedne	vüjelne	vüjlene
báduluszik	bádulszik	cselekedni	báduluszni	bádulszani
figzütegödik	figzütegszik	cselekedtek	figzütegödtek	figzütegszettek
bószolik	bószlik	cselekedtek	bószoltak	bószlottak
síszelöbözik	síszelöbzik	cselekedtek	síszelöböztek	síszelöbzettek
fálodik	fálszik	cselekednek	fálodnak	fálszanak
süzölik	süzlik	cselekednek	süzölnek	süzlenek
nűpzelőlödik	nűpzelőlszik	cselekedne	nűpzelőlödne	nűpzelőlszene
götegödik	götegdik	cselekednek	götegödnek	götegdenek
szekiszik	szekszik	cselekedne	szekiszne	szekszene
reközik	rekzik	cselekednek	reköznek	rekzenek
filszízalik	filszízlik	cselekedne	filszízalne	filszízlene
szágunolik	szágunlik	cselekedtek	szágunoltak	szágunlottak
sűszünizik	sűszünzik	cselekedni	sűszünizni	sűszünzeni
livokúloguszik	livokúlogszik	cselekedne	livokúloguszna	livokúlogszana
sziszkesidik	sziszkeslik	cselekedne	sziszkesidne	sziszkeslene
zúkisodik	zúkislik	cselekednek	zúkisodnek	zúkislenek
bovupudik	bovupszik	cselekedni	bovupudni	bovupszani
fősípedik	fősípdik	cselekedne	fősípedne	fősípdene
vöpödik	vöpszik	cselekednek	vöpödnek	vöpszenek
szonyulik	szonylik	cselekedni	szonyulni	szonylani
tegedik	tegdik	cselekedne	tegedne	tegdene
renyözik	renyzik	cselekednek	renyöznek	renyzenek
főpözilik	főpözlik	cselekedtek	főpöziltek	főpözlettek
gökidik	gökszik	cselekedne	gökidne	gökszene
dígajrómolik	dígajrómlik	cselekednek	dígajrómolnak	dígajrómlanak
jödírökizik	jödírökzik	cselekedne	jödírökizne	jödírökzene
kirízézémelik	kirízézémlik	cselekednek	kirízézémelnek	kirízézémlenek
redübülkíjelik	redübülkíjlik	cselekedni	redübülkíjelni	redübülkíjleni
zortíkalik	zortíklik	cselekedtek	zortíkaltek	zortíklettek
tónozik	tónzik	cselekednek	tónoznak	tónzanak
pümbömizik	pümbömzik	cselekedtek	pümbömiztek	pümbömzettek
kátíprápokoszik	kátíprápokszik	cselekedne	kátíprápokoszna	kátíprápokszana
tenigtélíszölik	tenigtélíszlik	cselekedtek	tenigtélíszöltek	tenigtélíszlettek
mörigükölik	mörigüklik	cselekedtek	mörigüköltek	mörigüklettek
rűgezik	rűgzik	cselekednek	rűgeznek	rűgzenek
kőszögözik	kőszögzik	cselekednek	kőszögöznek	kőszögzenek
tíndapodik	tíndapdik	cselekedni	tíndapodni	tíndapdani
süpínyőrödik	süpínyőrdik	cselekedtek	süpínyőrödtek	süpínyőrdettek
gérmenyelik	gérmenylik	cselekedtek	gérmenyeltek	gérmenylettek
kigürik	kigrik	cselekedtek	kigürtek	kigrettek
pósupodik	pósupszik	cselekedne	pósupodna	pósupszana
monokozik	monokszik	cselekedtek	monokoztak	monokszottak
fószusúkágodik	fószusúkágszik	cselekedtek	fószusúkágodtok	fószusúkágszotok
dusologaszik	dusologszik	cselekedtek	dusologasztak	dusologszottak
túguszik	túgszik	cselekedne	túguszna	túgszana
gídölik	gídlik	cselekedtek	gídöltek	gídlettek
púfokalik	púfoklik	cselekedne	púfokalna	púfoklana
lungazosalik	lungazoslik	cselekedne	lungazosalna	lungazoslana
timozik	timzik	cselekedni	timozni	timzeni
ditanyulik	ditanylik	cselekedtek	ditanyultak	ditanylottak
kavukozik	kavukzik	cselekedtek	kavukoztak	kavukzottak
szűbepödik	szűbepszik	cselekedne	szűbepödne	szűbepszene
tipödik	tipdik	cselekednek	tipödnek	tipdenek
dáfakozik	dáfakzik	cselekedtek	dáfakoztak	dáfakzottak
tönyözik	tönyzik	cselekedtek	tönyöztek	tönyzettek
tűldönyölik	tűldönylik	cselekednek	tűldönyölnek	tűldönylenek
bészügölik	bészüglik	cselekedne	bészügölne	bészüglene
szijulik	szijlik	cselekedni	szijulni	szijleni
vúdasodolik	vúdasodlik	cselekedtek	vúdasodoltak	vúdasodlottak
dibunuzik	dibunzik	cselekedtek	dibunuztok	dibunzotok
vőjözik	vőjzik	cselekedni	vőjözni	vőjzeni
vudubójozik	vudubójzik	cselekednek	vudubójoznak	vudubójzanak
kúlivúmalik	kúlivúmlik	cselekedne	kúlivúmalna	kúlivúmlana
füsztötölik	füsztötlik	cselekedne	füsztötölne	füsztötlene
finvökedik	finvökdik	cselekedni	finvökedni	finvökdeni
bürsilöszik	bürsilszik	cselekednek	bürsilösznek	bürsilszenek
lántokuzik	lántokszik	cselekedtek	lántokuztok	lántokszotok
müzötégirik	müzötégrik	cselekedne	müzötégirne	müzötégrene
nutosodik	nutoslik	cselekednek	nutosodnak	nutoslanak
sapidabuzik	sapidabzik	cselekedne	sapidabuzna	sapidabzana
rűresilik	rűreslik	cselekedtek	rűresiltek	rűreslettek
fiskümölik	fiskümlik	cselekedtek	fiskümöltek	fiskümlettek
dusologaszik	dusologszik	cselekedni	dusologaszni	dusologszani
sapidabuzik	sapidabzik	cselekednek	sapidabuznak	sapidabzanak
böböjezik	böböjzik	cselekedtek	böböjeztek	böböjzettek
séliszik	sélszik	cselekedtek	sélisztek	sélszettek
milöszönyelik	milöszönylik	cselekedtek	milöszönyeltek	milöszönylettek
figzütegödik	figzütegszik	cselekedne	figzütegödne	figzütegszene
kőködik	kőkszik	cselekedne	kőködne	kőkszene
tinyugodik	tinyugszik	cselekedtek	tinyugodtak	tinyugszottak
pralolodik	pralolszik	cselekednek	pralolodnak	pralolszanak
szönyelik	szönylik	cselekedne	szönyelne	szönylene
vőleszik	vőlszik	cselekedtek	vőlesztek	vőlszettek
zortíkalik	zortíklik	cselekedne	zortíkalne	zortíklene
lígarik	lígrik	cselekedtek	lígartek	lígrettek
súszulik	súszlik	cselekedne	súszulna	súszlana
tínölik	tínlik	cselekedni	tínölni	tínleni
fuvosolik	fuvoslik	cselekedni	fuvosolni	fuvoslani
kőgürik	kőgrik	cselekednek	kőgürnek	kőgrenek
rősirilik	rősirlik	cselekednek	rősirilnek	rősirlenek
kirvogurik	kirvogrik	cselekednek	kirvogurnak	kirvogranak
vónyozik	vónyzik	cselekednek	vónyoznak	vónyzanak
sötízölik	sötízlik	cselekedtek	sötízöltek	sötízlettek
szűbepödik	szűbepszik	cselekednek	szűbepödnek	szűbepszenek
tínölik	tínlik	cselekednek	tínölnek	tínlenek
lűgürik	lűgrik	cselekedtek	lűgürtek	lűgrettek
fisöpedik	fisöpdik	cselekednek	fisöpednek	fisöpdenek
lumozik	lumzik	cselekednek	lumoznak	lumzanak
mőrünilik	mőrünlik	cselekedtek	mőrüniltek	mőrünlettek
búnlalodik	búnlalszik	cselekedtek	búnlalodtak	búnlalszottak
tegedik	tegdik	cselekedni	tegedni	tegdeni
ríbolodik	ríbolszik	cselekedtek	ríbolodtok	ríbolszotok
püszilik	püszlik	cselekedtek	püsziltek	püszlettek
zódalik	zódlik	cselekedne	zódalna	zódlana
kőködik	kőkszik	cselekednek	kőködnek	kőkszenek
zúkisodik	zúkislik	cselekedtek	zúkisodtek	zúkislettek
vűbözik	vűbzik	cselekedtek	vűböztek	vűbzettek
krűsesidik	krűseslik	cselekedne	krűsesidne	krűseslene
bunozsalik	bunozslik	cselekedni	bunozsalni	bunozslani
ziszigurik	ziszigrik	cselekedne	ziszigurne	ziszigrene
tenigtélíszölik	tenigtélíszlik	cselekedne	tenigtélíszölne	tenigtélíszlene
zőslögirik	zőslögrik	cselekedtek	zőslögirtek	zőslögrettek
gítügözik	gítügzik	cselekedtek	gítügöztek	gítügzettek
nasijozik	nasijzik	cselekedtek	nasijoztek	nasijzettek
vapodik	vapdik	cselekedne	vapodna	vapdana
prűrgítűkösödik	prűrgítűköslik	cselekedne	prűrgítűkösödne	prűrgítűköslene
söszígilik	söszíglik	cselekedni	söszígilni	söszígleni
fűpözölik	fűpözlik	cselekednek	fűpözölnek	fűpözlenek
lúsulik	lúslik	cselekedtek	lúsultok	lúslotok
sakoguszik	sakogszik	cselekedtek	sakogusztak	sakogszottak
reközik	rekzik	cselekedne	reközne	rekzene
sáturuzik	sáturzik	cselekedtek	sáturuztak	sáturzottak
pétögiszik	pétögszik	cselekedtek	pétögisztek	pétögszettek
redelébezik	redelébzik	cselekednek	redelébeznek	redelébzenek
gökidik	gökszik	cselekedtek	gökidtek	gökszettek
bebinezik	bebinzik	cselekedne	bebinezne	bebinzene
manukodik	manukszik	cselekedne	manukodna	manukszana
delíködik	delíkszik	cselekedni	delíködni	delíkszeni
lópodik	lópdik	cselekedne	lópodna	lópdana
kontagulik	kontaglik	cselekedne	kontagulna	kontaglana
ránozik	ránzik	cselekedni	ránozni	ránzani
kigodik	kigdik	cselekedne	kigodne	kigdene
dinalik	dinlik	cselekedne	dinalne	dinlene
tónozik	tónzik	cselekedni	tónozni	tónzani
vügiszékögilik	vügiszéköglik	cselekednek	vügiszékögilnek	vügiszéköglenek
morugodik	morugszik	cselekedtek	morugodtok	morugszotok
bószolik	bószlik	cselekednek	bószolnak	bószlanak
sankoguszik	sankogszik	cselekedtek	sankogusztak	sankogszottak
szérökizik	szérökszik	cselekedtek	szérökiztek	szérökszettek
vóbirudik	vóbirdik	cselekedne	vóbirudne	vóbirdene
lígyokodik	lígyokszik	cselekedne	lígyokodna	lígyokszana
töginezik	töginzik	cselekedne	töginezne	töginzene
strézleklűrözik	strézleklűrzik	cselekednek	strézleklűröznek	strézleklűrzenek
szágupodik	szágupszik	cselekednek	szágupodnak	szágupszanak
kíkuzik	kíkzik	cselekedni	kíkuzni	kíkzeni
litorúvúdalik	litorúvúdlik	cselekednek	litorúvúdalnak	litorúvúdlanak
burukákolik	burukáklik	cselekedni	burukákolni	burukáklani
szágunolik	szágunlik	cselekedtek	szágunoltok	szágunlotok
szingödeszölik	szingödeszlik	cselekedtek	szingödeszöltek	szingödeszlettek
föbizik	föbzik	cselekedtek	föbiztek	föbzettek
szubapodik	szubapszik	cselekedtek	szubapodtak	szubapszottak
girzenögdeközik	girzenögdekzik	cselekedne	girzenögdeközne	girzenögdekzene
métrüliszik	métrülszik	cselekedni	métrüliszni	métrülszeni
fodídolik	fodídlik	cselekedtek	fodídoltek	fodídlettek
pósupodik	pósupszik	cselekednek	pósupodnak	pósupszanak
pőtölik	pőtlik	cselekedni	pőtölni	pőtleni
fórulik	fórlik	cselekedtek	fórultok	fórlotok
rünilik	rünlik	cselekedne	rünilne	rünlene
sugidolik	sugidlik	cselekedne	sugidolne	sugidlene
lerökizik	lerökzik	cselekedne	lerökizne	lerökzene
szonyínulik	szonyínlik	cselekedtek	szonyínultek	szonyínlettek
jűvíntetölik	jűvíntetlik	cselekednek	jűvíntetölnek	jűvíntetlenek
pétügelik	pétüglik	cselekedtek	pétügeltek	pétüglettek
besziséngyőgelik	besziséngyőglik	cselekedtek	besziséngyőgeltek	besziséngyőglettek
kipörödik	kipördik	cselekednek	kipörödnek	kipördenek
lígödik	lígszik	cselekedni	lígödni	lígszeni
bürsilöszik	bürsilszik	cselekedtek	bürsilösztek	bürsilszettek
kúmíjolik	kúmíjlik	cselekedne	kúmíjolne	kúmíjlene
fűpözölik	fűpözlik	cselekedni	fűpözölni	fűpözleni
vúrusalik	vúruslik	cselekedni	vúrusalni	vúruslani
lipükezik	lipükszik	cselekedtek	lipükeztek	lipükszettek
vebüpűgeszik	vebüpűgszik	cselekednek	vebüpűgesznek	vebüpűgszenek
búvarozik	búvarzik	cselekedtek	búvaroztok	búvarzotok
mépökiszik	mépökszik	cselekednek	mépökisznek	mépökszenek
remörüzilik	remörüzlik	cselekedtek	remörüziltek	remörüzlettek
solazulik	solazlik	cselekedni	solazulni	solazlani
kütinölik	kütinlik	cselekedtek	kütinöltek	kütinlettek
timorozik	timorzik	cselekedne	timorozna	timorzana
sisinzokámolik	sisinzokámlik	cselekedtek	sisinzokámoltak	sisinzokámlottak
ruzsalik	ruzslik	cselekedtek	ruzsaltok	ruzslotok
sőbedegödik	sőbedegszik	cselekednek	sőbedegödnek	sőbedegszenek
mőmezik	mőmzik	cselekedne	mőmezne	mőmzene
kúlivúmalik	kúlivúmlik	cselekedtek	kúlivúmaltok	kúlivúmlotok
kegedik	kegszik	cselekednek	kegednek	kegszenek
fozganozik	fozganzik	cselekednek	fozganoznak	fozganzanak
szukuszik	szukszik	cselekedtek	szukusztok	szukszotok
bürsilöszik	bürsilszik	cselekedni	bürsilöszni	bürsilszeni
redübülkíjelik	redübülkíjlik	cselekedne	redübülkíjelne	redübülkíjlene
brangarozik	brangarzik	cselekedtek	brangaroztok	brangarzotok
kőpülödik	kőpülszik	cselekedtek	kőpülödtek	kőpülszettek
rónyigorik	rónyigrik	cselekedne	rónyigorne	rónyigrene
